model,profile_id,repetition,w_low,w_high,delta,low_rationale,high_rationale
Llama 3.1 8B Instruct,P24,4,85,62,23,"The person's medium trust in public health authorities and lack of required documentation beyond a standard identification card contribute to a moderate level of willingness. The convenience of scheduling an appointment online, the pharmacy's extended hours, and the short estimated time required for the vaccination also increase her willingness. However, her part-time work schedule and potential childcare responsibilities may slightly reduce her willingness.","The person's medium trust in public health authorities and the requirement to register in person at a public health center may reduce their willingness to get vaccinated. Additionally, the need to bring income verification and proof of residency, complete paper forms, and wait for at least a week to schedule an appointment may be perceived as inconvenient, further decreasing their willingness."
Llama 3.1 8B Instruct,P24,5,85,62,23,"The person's medium trust in public health authorities and lack of required documentation beyond a standard ID card suggest a moderate level of comfort with the vaccination process. The convenience of scheduling online, the pharmacy's extended hours, and the short appointment duration further increase her willingness to get vaccinated. Her part-time work schedule and ability to easily get doctor's appointments also indicate a relatively high level of flexibility and access to healthcare, which may contribute to her willingness to proceed with vaccination.","The person's medium trust in public health authorities and the requirement to register in person at a public health center may reduce their willingness to get vaccinated. Additionally, the need to bring income verification and proof of residency, complete paper forms, and wait for at least a week to schedule an appointment may be perceived as inconvenient, further decreasing their willingness."
Llama 3.1 8B Instruct,P25,1,85,45,40,"The person's medium trust in public health authorities and lack of a regular doctor or health clinic may initially reduce their willingness to get vaccinated. However, the convenience of scheduling an appointment online, the availability of extended evening and weekend hours, and the minimal documentation required are likely to increase their willingness. The short estimated time required for the appointment also makes it more appealing.","The person's medium trust in public health authorities and the need to register in person at a designated public health center may deter her from getting vaccinated. Additionally, the requirement to bring income verification and proof of residency, complete paper forms, and the estimated 1-2 hour waiting time may be inconvenient for her, especially considering her self-employed schedule and lack of a regular doctor or health clinic."
Llama 3.1 8B Instruct,P25,2,85,45,40,"The person's medium trust in public health authorities and lack of a regular doctor or health clinic may initially reduce their willingness to get vaccinated. However, the convenience of scheduling an appointment online, the availability of extended evening and weekend hours, and the minimal documentation required are likely to increase their willingness. The short estimated time required for the appointment also makes it more appealing.","The person's medium trust in public health authorities and lack of a regular doctor or health clinic may reduce their willingness to get vaccinated. Additionally, the inconvenience of registering in person, bringing documentation, and waiting for an appointment may deter her. However, her self-employment and control over her schedule may allow her to accommodate the registration process."
Llama 3.1 8B Instruct,P25,3,85,45,40,"The person's medium trust in public health authorities and lack of a regular doctor or health clinic may initially reduce their willingness to get vaccinated. However, the convenience of scheduling an appointment online, the availability of extended evening and weekend hours, and the minimal documentation required are likely to increase their willingness. The short estimated time required for the appointment also makes it more appealing.","The person's medium trust in public health authorities and lack of a regular doctor or health clinic may reduce their willingness to get vaccinated. Additionally, the inconvenience of registering in person, bringing required documents, and waiting 1-2 hours may deter her. However, her self-employment and control over her schedule may allow her to accommodate the appointment, and her child's health may motivate her to get vaccinated."
Llama 3.1 8B Instruct,P25,4,85,45,40,"The person's medium trust in public health authorities and lack of a regular doctor or health clinic may initially reduce their willingness to get vaccinated. However, the convenience of scheduling an appointment online, the availability of extended evening and weekend hours, and the minimal documentation required are likely to increase their willingness. The short estimated time required for the appointment also makes it more appealing.","The person's medium trust in public health authorities and lack of a regular doctor or health clinic may reduce their willingness to get vaccinated. Additionally, the inconvenience of registering in person, bringing required documents, and waiting 1-2 hours may deter her. However, her self-employment and control over her schedule may allow her to accommodate the registration process."
Llama 3.1 8B Instruct,P25,5,85,45,40,"Given her medium trust in public health authorities and the convenience of the vaccination appointment at a nearby pharmacy with extended hours, this person is likely to be willing to get vaccinated. The lack of required documentation and the short appointment time also contribute to her willingness. However, her self-employment and lack of a regular doctor may slightly reduce her willingness due to potential concerns about taking time off work or accessing healthcare services.","The person's medium trust in public health authorities and lack of a regular doctor or health clinic may reduce their willingness to get vaccinated. Additionally, the inconvenience of registering in person, bringing documentation, and waiting for an appointment may deter her. However, her self-employment and control over her schedule may allow her to accommodate the registration process."
Llama 3.1 8B Instruct,P26,1,85,45,40,"The person's medium trust in public health authorities and lack of required documentation beyond a standard ID card may reduce their willingness slightly. However, the convenience of scheduling an appointment online, the nearby location of the pharmacy with extended hours, and the short estimated time required for the appointment are likely to increase their willingness to get vaccinated.","The person's medium trust in public health authorities and the inconvenience of the registration process, including the need to travel to a public health center, complete paper forms, and wait for an appointment, may deter her from getting vaccinated. Additionally, her self-employed status and control over her schedule may make it difficult for her to find time to register and attend the appointment. However, her high household income and access to a regular doctor may indicate a higher level of health literacy and a greater willingness to take preventive measures, which could counterbalance some of these deterrents."
Llama 3.1 8B Instruct,P26,2,85,45,40,"The person's medium trust in public health authorities and lack of required documentation beyond a standard ID card may reduce their willingness slightly. However, the convenience of scheduling an appointment online, the nearby location of the pharmacy with extended hours, and the short estimated time required for the appointment are likely to increase their willingness to get vaccinated. The fact that they have a regular doctor and a child may also motivate them to take care of their health and protect their child.","The person's medium trust in public health authorities and the requirement to register in person at a designated public health center may make her hesitant. The need to bring income verification and proof of residency, complete paper forms, and wait for at least a week to schedule an appointment may also contribute to her reluctance. However, her self-employment and control over her schedule may allow her to accommodate the appointment, and her concern for her child's health may motivate her to get vaccinated."
Llama 3.1 8B Instruct,P26,3,85,45,40,"The person's medium trust in public health authorities and lack of required documentation beyond a standard ID card may reduce their willingness slightly. However, the convenience of scheduling an appointment online, the nearby location of the pharmacy with extended hours, and the short estimated time required for the appointment are likely to increase their willingness to get vaccinated. The fact that they have a regular doctor and a child may also motivate them to take care of their health and protect their child.","The person's medium trust in public health authorities and the inconvenience of the registration process, including the need to travel to a public health center, complete paper forms, and wait for an appointment, contribute to a lower willingness to get vaccinated. Additionally, the person's self-employed status and control over her schedule may make it difficult for her to dedicate time to the registration process. However, her high household income and access to a regular doctor suggest that she values health and may be motivated to get vaccinated."
Llama 3.1 8B Instruct,P26,4,85,45,40,"The person's medium trust in public health authorities and lack of required documentation beyond a standard ID card may reduce their willingness slightly. However, the convenience of scheduling an appointment online, the nearby location of the pharmacy with extended hours, and the short estimated time required for the appointment are likely to increase their willingness to get vaccinated. The fact that they have a regular doctor and a child may also motivate them to take care of their health and protect their child.","The person's medium trust in public health authorities and the inconvenience of the registration process, including the need to travel to a distant public health center, complete paper forms, and wait for an appointment, may deter her from getting vaccinated. Additionally, her self-employment and control over her schedule may make it difficult for her to find time to register and attend the appointment. However, her high household income and access to a regular doctor may indicate a higher level of health literacy and a greater willingness to take preventive measures, which could counterbalance some of these deterrents."
Llama 3.1 8B Instruct,P26,5,85,45,40,"The person's medium trust in public health authorities and lack of required documentation beyond a standard ID card may reduce their willingness slightly. However, the convenience of scheduling an appointment online, the nearby location of the pharmacy with extended hours, and the short estimated time required for the appointment are likely to increase their willingness to get vaccinated. The fact that they have a regular doctor and a child may also motivate them to take care of their health and protect their child.","The person's medium trust in public health authorities and the inconvenience of the registration process, including the need to travel to a public health center, complete paper forms, and wait for an appointment, may deter her from getting vaccinated. Additionally, her self-employed status and control over her schedule may make it difficult for her to find time to register and attend the appointment. However, her high household income and access to a regular doctor may indicate a higher level of health literacy and a greater willingness to take preventive measures, which could increase her willingness to get vaccinated."
Llama 3.1 8B Instruct,P27,1,85,45,40,"The person's medium trust in public health authorities and lack of required documentation beyond a standard ID card may reduce her willingness slightly. However, the convenience of scheduling online, the nearby location with extended hours, and the short appointment time are likely to increase her willingness to get vaccinated. Her self-employed status and control over her schedule also make it easier for her to accommodate the appointment.","The person's medium trust in public health authorities and the need to register in person at a public health center may reduce their willingness to get vaccinated. Additionally, the requirement to bring income verification and proof of residency, complete paper forms, and wait for at least a week to schedule an appointment may be perceived as inconvenient and bureaucratic, further decreasing their willingness."
Llama 3.1 8B Instruct,P27,2,85,60,25,"The person's medium trust in public health authorities and lack of required documentation beyond a standard ID card may reduce her willingness slightly. However, the convenience of scheduling online, the pharmacy's extended hours, and the short appointment time are likely to increase her willingness to get vaccinated. Her self-employment and control over her schedule also make it easier for her to accommodate the appointment.","The person's medium trust in public health authorities and the requirement to register in person at a public health center may deter her from getting vaccinated. However, her high household income and ability to control her schedule may make it easier for her to accommodate the appointment. The inconvenience of the registration process and waiting time may still be a significant barrier."
Llama 3.1 8B Instruct,P27,3,85,60,25,"The person's medium trust in public health authorities and lack of required documentation beyond a standard ID card may reduce her willingness slightly. However, the convenience of scheduling online, the nearby location with extended hours, and the short appointment time are likely to increase her willingness to get vaccinated.","The person's medium trust in public health authorities and the requirement to register in person at a public health center may reduce her willingness to get vaccinated. However, her high household income and ability to control her schedule may make it easier for her to accommodate the 1-2 hour waiting time and the need to schedule an appointment one week in advance. Her concern for her child's health may also motivate her to get vaccinated, but the inconvenience of the registration process may still be a deterrent."
Llama 3.1 8B Instruct,P27,4,85,45,40,"The person's medium trust in public health authorities and lack of required documentation beyond a standard ID card may reduce her willingness slightly. However, the convenience of scheduling online, the pharmacy's extended hours, and the short appointment time are likely to increase her willingness to get vaccinated. Her self-employment and control over her schedule also make it easier for her to accommodate the appointment.","The person's medium trust in public health authorities and the need to register in person at a public health center may reduce their willingness to get vaccinated. Additionally, the requirement to bring income verification and proof of residency, complete paper forms, and wait for at least a week to schedule an appointment may be perceived as inconvenient and bureaucratic, further decreasing their willingness."
Llama 3.1 8B Instruct,P27,5,85,45,40,"The person's medium trust in public health authorities and lack of required documentation beyond a standard ID card may reduce her willingness slightly. However, the convenience of scheduling online, the pharmacy's extended hours, and the short appointment duration are likely to increase her willingness to get vaccinated. Her self-employment and control over her schedule also make it easier for her to accommodate the appointment.","The person's medium trust in public health authorities and the need to register in person at a public health center may reduce their willingness to get vaccinated. Additionally, the requirement to bring income verification and proof of residency, complete paper forms, and wait for at least a week to schedule an appointment may be perceived as inconvenient and bureaucratic, further decreasing their willingness."
Mistral Large,P01,1,65,40,25,"The accessibility of the appointment (nearby location, flexible hours, minimal documentation) reduces logistical barriers, which is critical given her time constraints and lack of a regular healthcare provider. However, her medium trust in public health authorities and lower socioeconomic status may slightly dampen her willingness.","The individual faces significant logistical barriers, including time constraints, lack of flexible work leave, and the need for in-person registration with documentation. Her medium trust in public health authorities and lack of a regular healthcare provider may further reduce motivation, though her responsibility as a parent could slightly increase willingness."
Mistral Large,P01,2,65,40,25,"The accessibility of the appointment (nearby location, flexible hours, minimal documentation) reduces logistical barriers, which is critical given her time constraints and lack of regular healthcare access. However, her medium trust in public health authorities and lower socioeconomic status may slightly dampen her willingness.","The individual faces significant logistical barriers, including time constraints due to work, lack of easy access to healthcare, and the need for income verification and residency proof. Her medium trust in public health authorities and the inconvenience of the registration process further reduce her likelihood of proceeding."
Mistral Large,P01,3,65,45,20,"The convenience of the appointment (nearby location, flexible hours, and short time commitment) likely increases her willingness, despite her medium trust in public health authorities and lack of a regular healthcare provider. However, her low income and logistical constraints (e.g., childcare, job inflexibility) may still pose barriers.","The individual faces significant logistical barriers, including time constraints, lack of easy access to healthcare, and administrative burdens (e.g., income verification, paper forms). However, her medium trust in public health authorities and responsibility for a young child may moderately motivate her to overcome these obstacles."
Mistral Large,P01,4,65,40,25,"The individual's medium trust in public health authorities and lack of a regular healthcare provider slightly reduce willingness, but the convenient location, flexible hours, and minimal time commitment make vaccination more accessible. Financial constraints and childcare responsibilities may still pose minor barriers.","The individual faces significant logistical barriers, including time constraints due to work, lack of easy access to healthcare, and the burdensome registration process. However, her medium trust in public health authorities and the presence of a young child may moderately increase her willingness to overcome these obstacles."
Mistral Large,P01,5,65,40,25,"The accessibility of the appointment (nearby location, flexible hours, minimal documentation) reduces logistical barriers, which is critical given her time constraints and lack of regular healthcare access. However, her medium trust in public health authorities and lower socioeconomic status may temper her willingness despite the convenience.","The individual's low income, lack of flexible work hours, and absence of a regular healthcare provider create significant barriers to vaccination. The logistical burdens of in-person registration, documentation requirements, and long wait times further reduce her willingness, despite her medium trust in public health authorities."
Mistral Large,P02,1,75,45,30,"The convenience of a nearby pharmacy with extended hours and minimal time commitment likely increases her willingness, despite her medium trust in public health authorities and logistical challenges. The lack of documentation requirements and immediate confirmation further reduce barriers.","The individual faces significant logistical barriers, including time constraints due to work, travel distance to the clinic, and the complexity of in-person registration with documentation requirements. However, her medium trust in public health authorities and responsibility for a young child may moderately increase her willingness."
Mistral Large,P02,2,75,45,30,"The accessibility of the appointment (nearby location, flexible hours, minimal time commitment) addresses key barriers like time constraints and distance to healthcare. However, medium trust in public health authorities and logistical challenges (e.g., childcare) may slightly reduce willingness.","The individual faces significant logistical barriers, including time constraints, transportation challenges, and bureaucratic hurdles (e.g., income verification, paper forms). While her medium trust in public health authorities and responsibility as a parent may motivate her, the inconvenience and opportunity cost likely outweigh these factors."
Mistral Large,P02,3,75,40,35,"The convenience of a nearby pharmacy with extended hours and minimal time commitment likely increases her willingness, despite her medium trust in public health authorities and logistical barriers. The lack of documentation requirements and immediate confirmation further reduce friction.","The individual faces significant logistical barriers, including time constraints, transportation challenges, and bureaucratic hurdles (e.g., income verification, lengthy forms). Her medium trust in public health authorities and low-income status further reduce motivation, though her role as a caregiver may slightly increase willingness."
Mistral Large,P02,4,78,45,33,"The convenience of a nearby pharmacy with extended hours and minimal time commitment likely increases her willingness, despite her medium trust in public health authorities and logistical challenges. The lack of documentation requirements and immediate confirmation further reduce barriers.","The individual faces significant logistical barriers, including time constraints due to work, travel distance to the clinic, and the cumbersome in-person registration process. Her medium trust in public health authorities and socioeconomic challenges further reduce her likelihood of proceeding, though her role as a caregiver may slightly increase motivation."
Mistral Large,P02,5,75,45,30,"The convenience of a nearby pharmacy with extended hours and minimal time commitment addresses key barriers (time off work, travel distance). However, medium trust in public health authorities and logistical constraints (childcare, low income) may slightly reduce willingness.","The individual faces significant logistical barriers, including time constraints, transportation challenges, and bureaucratic hurdles, which reduce willingness. However, her medium trust in public health authorities and responsibility for a young child may moderately offset these obstacles."
Mistral Large,P03,1,68,45,23,"The individual's medium trust in public health authorities and logistical convenience (nearby location, flexible hours, minimal time commitment) moderately increase willingness. However, lower income and job inflexibility may slightly reduce urgency or perceived feasibility.","The individual's medium trust in public health authorities, logistical barriers (time off work, lengthy in-person registration, and documentation requirements), and low household income reduce willingness. However, access to a regular doctor and having a young child may slightly increase motivation."
Mistral Large,P03,2,65,45,20,"The individual's medium trust in public health authorities and logistical barriers (e.g., inflexible work schedule) slightly reduce willingness, but the convenient appointment timing, proximity, and ease of access increase the likelihood of vaccination. The presence of a young child may also motivate her to protect her family.","The individual's medium trust in public health authorities and logistical barriers (e.g., in-person registration, income verification, long wait times, and inflexible work schedule) reduce willingness. However, access to a regular doctor and the presence of a young child may slightly increase motivation."
Mistral Large,P03,3,70,45,25,"The individual's medium trust in public health authorities and convenient appointment logistics (nearby location, flexible hours, minimal time commitment) likely increase her willingness. However, her low income and job constraints may introduce minor hesitancy despite the accessibility.","The individual's medium trust in public health authorities and logistical barriers (e.g., in-person registration, income verification, long wait times, and inflexible work schedule) reduce willingness. However, access to a regular doctor and the presence of a young child may slightly increase motivation."
Mistral Large,P03,4,68,45,23,"The individual's medium trust in public health authorities and logistical barriers (e.g., inflexible work schedule) slightly reduce willingness, but the convenient appointment timing, proximity, and ease of scheduling increase accessibility. The presence of a young child may also motivate vaccination for family protection.","The individual's medium trust in public health authorities and logistical barriers (e.g., in-person registration, income verification, long wait times, and inflexible work schedule) reduce willingness. However, access to a regular doctor and the presence of a young child may slightly increase motivation."
Mistral Large,P03,5,75,45,30,"The individual's medium trust in public health authorities and logistical convenience (nearby location, flexible hours, minimal time commitment) likely increase her willingness. However, her low income and job constraints may introduce minor hesitancy despite the accessible appointment structure.","The individual's medium trust in public health authorities and logistical barriers (e.g., in-person registration, income verification, long wait times) reduce willingness. However, access to a regular doctor and the presence of a young child may slightly increase motivation to vaccinate."
Mistral Large,P04,1,65,45,20,"The individual's medium trust in public health authorities, lack of a regular healthcare provider, and lower income may slightly reduce her willingness, but the convenience of the appointment (nearby location, flexible hours, minimal documentation, and short time commitment) likely increases her likelihood of getting vaccinated, especially as a parent of a young child.","The individual's medium trust in public health authorities, logistical barriers (e.g., in-person registration, documentation requirements, and long wait times), and lack of a regular healthcare provider reduce willingness. However, the presence of a young child may slightly increase motivation to seek vaccination."
Mistral Large,P04,2,65,45,20,"The individual's medium trust in public health authorities, lack of a regular healthcare provider, and lower income may slightly reduce willingness, but the convenience of the appointment (nearby, flexible hours, minimal time commitment) and the presence of a young child likely increase her motivation to get vaccinated for family safety.","The individual's medium trust in public health authorities, lack of a regular healthcare provider, and logistical barriers (e.g., income verification, long wait times, and in-person registration) reduce willingness. However, her responsibility as a parent may moderately increase motivation to vaccinate her child."
Mistral Large,P04,3,65,45,20,"The individual's medium trust in public health authorities, lack of a regular healthcare provider, and lower income may slightly reduce willingness, but the convenience of the appointment (nearby, flexible hours, minimal time commitment) and the presence of a young child likely increase her motivation to get vaccinated.","The individual's medium trust in public health authorities, logistical barriers (e.g., in-person registration, documentation requirements, and long wait times), and lack of a regular healthcare provider reduce willingness. However, the presence of a young child may slightly increase motivation to seek vaccination."
Mistral Large,P04,4,65,45,20,"The individual's medium trust in public health authorities, lack of a regular healthcare provider, and lower income may slightly reduce willingness, but the convenience of the nearby pharmacy with flexible hours, minimal documentation, and quick process likely increases accessibility and motivation to vaccinate.","The individual's medium trust in public health authorities, lack of a regular healthcare provider, and logistical barriers (e.g., income verification, long wait times, and in-person registration) reduce willingness. However, her responsibility for a young child may slightly increase motivation to overcome these hurdles."
Mistral Large,P04,5,65,45,20,"The individual's medium trust in public health authorities, lack of a regular healthcare provider, and lower income may slightly reduce willingness, but the convenience of the appointment (nearby location, flexible hours, minimal time commitment, and no documentation barriers) likely increases accessibility and motivation to vaccinate, especially given the presence of a young child.","The individual's medium trust in public health authorities, logistical barriers (in-person registration, documentation requirements, long wait times), and lack of a regular healthcare provider reduce willingness. However, the presence of a young child may slightly increase motivation to seek vaccination."
Mistral Large,P05,1,75,50,25,"The convenience of a nearby pharmacy with extended hours, minimal documentation, and a short time commitment likely increases her willingness. However, her medium trust in public health authorities and logistical barriers (e.g., childcare, distance to her regular clinic) may slightly temper her enthusiasm.","The individual's medium trust in public health authorities and logistical barriers (distance to clinic, income verification, lengthy paperwork, and wait times) reduce willingness. However, her responsibility as a parent and access to a regular doctor may moderately offset these challenges."
Mistral Large,P05,2,75,45,30,"The convenience of a nearby pharmacy with extended hours, minimal documentation, and a short time commitment significantly reduces barriers to vaccination. However, her medium trust in public health authorities and logistical challenges (e.g., childcare, distance to her regular clinic) may slightly temper her willingness.","The individual's medium trust in public health authorities and logistical barriers (e.g., travel distance, income verification, lengthy wait times) reduce willingness. However, the presence of a young child may slightly increase motivation to overcome these hurdles."
Mistral Large,P05,3,75,50,25,"The convenience of a nearby pharmacy with extended hours, minimal documentation, and a short time commitment likely increases her willingness. However, her medium trust in public health authorities and logistical barriers (e.g., childcare for her 3-year-old) may slightly temper her enthusiasm.","The individual's medium trust in public health authorities and logistical barriers (distance to clinic, income verification, lengthy forms, and wait times) reduce willingness. However, her responsibility as a parent and access to a regular doctor may moderately offset these challenges."
Mistral Large,P05,4,75,50,25,"The convenience of a nearby pharmacy with extended hours, minimal documentation, and a short time commitment likely increases her willingness. However, her medium trust in public health authorities and logistical barriers (e.g., childcare for her 3-year-old) may slightly temper her enthusiasm.","The individual's medium trust in public health authorities and logistical barriers (e.g., travel distance, income verification, long wait times) may reduce willingness, but the presence of a young child and access to a regular doctor could moderately motivate vaccination."
Mistral Large,P05,5,75,45,30,"The convenience of the nearby pharmacy with extended hours, minimal documentation requirements, and short time commitment likely increases her willingness. However, her medium trust in public health authorities and logistical challenges (e.g., childcare, distance to her regular clinic) may slightly temper her enthusiasm.","The individual's medium trust in public health authorities, logistical barriers (distance to clinic, in-person registration with documentation requirements, and long wait times), and lower household income may reduce willingness. However, the presence of a young child and access to a regular doctor could moderately increase motivation."
Mistral Large,P06,1,70,55,15,"The individual's medium trust in public health authorities, access to a regular doctor, and convenient appointment logistics (nearby location, flexible hours, minimal documentation) likely increase her willingness. However, her lower income and education level may introduce some hesitancy, though the presence of a young child could motivate vaccination.","The individual's medium trust in public health authorities and logistical barriers (in-person registration, paperwork, long wait times) may reduce willingness, but her access to a regular doctor and need to protect her young child could moderately motivate her to proceed."
Mistral Large,P06,2,68,55,13,"The individual's medium trust in public health authorities, access to a regular doctor, and convenient appointment logistics (nearby location, flexible hours, minimal time commitment) suggest moderate willingness. However, lower income and education levels may slightly reduce confidence in vaccination, while parental responsibility could motivate her to protect her child.","The individual's medium trust in public health authorities and logistical barriers (in-person registration, paperwork, long wait times) may reduce willingness, but her access to a regular doctor and need to protect her young child could moderately motivate her to proceed."
Mistral Large,P06,3,68,55,13,"The individual's medium trust in public health authorities, ease of access to the vaccine (nearby location, flexible hours, minimal documentation), and having a regular doctor slightly increase willingness. However, lower income and education levels may introduce some hesitancy, though the convenience of the scenario mitigates this.","The individual's medium trust in public health authorities and logistical barriers (e.g., in-person registration, income verification, long wait times) may reduce willingness, but her access to a regular doctor and need to protect her young child could moderately motivate her to proceed."
Mistral Large,P06,4,68,55,13,"The individual's medium trust in public health authorities, access to a regular doctor, and convenient appointment logistics (nearby location, flexible hours, minimal documentation) likely increase willingness. However, lower income and education levels may slightly reduce confidence in vaccination, while the presence of a young child could motivate protection.","The individual's medium trust in public health authorities and logistical barriers (e.g., in-person registration, income verification, long wait times) may reduce willingness, but her access to a regular doctor and need to protect her young child could moderately motivate her to proceed."
Mistral Large,P06,5,70,55,15,"The individual's medium trust in public health authorities, access to a regular doctor, and convenient appointment logistics (nearby location, flexible hours, minimal documentation) likely increase her willingness. However, her lower income and part-time work may introduce some hesitancy due to competing priorities or concerns about side effects.","The individual's medium trust in public health authorities and logistical barriers (e.g., in-person registration, income verification, lengthy forms, and wait times) may reduce willingness. However, access to a regular doctor and the presence of a young child could moderately increase motivation to vaccinate."
Mistral Large,P07,1,65,45,20,"The individual's medium trust in public health authorities, lack of a regular healthcare provider, and lower income may slightly reduce willingness, but the convenience of the appointment (nearby location, flexible hours, minimal time commitment, and no documentation barriers) likely increases her likelihood of proceeding with vaccination.","The individual's medium trust in public health authorities, logistical barriers (in-person registration, documentation requirements, and long wait times), and lack of a regular healthcare provider reduce willingness. However, her responsibility for a young child and control over her schedule may slightly increase motivation."
Mistral Large,P07,2,65,45,20,"The individual's medium trust in public health authorities, lack of a regular healthcare provider, and lower household income may slightly reduce willingness, but the convenience of the appointment (nearby location, flexible hours, minimal time commitment, and no documentation barriers) likely increases accessibility and motivation to vaccinate, especially given her child's potential vulnerability.","The individual's medium trust in public health authorities and logistical barriers (e.g., in-person registration, income verification, long wait times) reduce willingness. However, her responsibility for a young child and control over her schedule may slightly increase her motivation to overcome these hurdles."
Mistral Large,P07,3,65,45,20,"The individual's medium trust in public health authorities, lack of a regular healthcare provider, and lower income may slightly reduce willingness, but the convenience of the appointment (nearby location, flexible hours, minimal time commitment, and no documentation barriers) likely increases her likelihood of proceeding with vaccination, especially given her responsibility for a young child.","The individual's medium trust in public health authorities, logistical barriers (e.g., in-person registration, income verification, long wait times), and lack of a regular healthcare provider reduce willingness. However, her self-employed status and control over her schedule may slightly mitigate these barriers."
Mistral Large,P07,4,65,45,20,"The individual's medium trust in public health authorities, lack of a regular healthcare provider, and lower income may slightly reduce willingness, but the convenience of the appointment (nearby, flexible hours, minimal time commitment) and the responsibility of caring for a young child likely increase her motivation to get vaccinated.","The individual's medium trust in public health authorities, logistical barriers (in-person registration, documentation requirements, and long wait times), and lack of a regular healthcare provider reduce willingness. However, her responsibility for a young child and control over her schedule may moderately increase her motivation."
Mistral Large,P07,5,65,45,20,"The individual's medium trust in public health authorities, lack of a regular healthcare provider, and lower income may slightly reduce willingness, but the convenience of the appointment (nearby, flexible hours, minimal time commitment) and the presence of a young child likely increase her motivation to get vaccinated.","The individual's medium trust in public health authorities, lack of a regular healthcare provider, and logistical barriers (in-person registration, income verification, long wait times) reduce willingness. However, her responsibility for a young child and control over her schedule may slightly increase motivation."
Mistral Large,P08,1,75,50,25,"The convenience of a nearby pharmacy with flexible hours, minimal documentation, and a short time commitment likely increases her willingness. However, her medium trust in public health authorities and logistical barriers (e.g., childcare for her 3-year-old) may slightly temper her enthusiasm.","The individual's medium trust in public health authorities and logistical barriers (distance to clinic, in-person registration with documentation requirements, and long wait times) may reduce willingness. However, her self-employed status and control over her schedule could mitigate some inconvenience, and her child's age may motivate vaccination."
Mistral Large,P08,2,75,50,25,"The convenience of a nearby pharmacy with flexible hours, minimal documentation, and a short time commitment likely increases her willingness. However, her medium trust in public health authorities and logistical barriers (e.g., childcare or transportation) may slightly temper her enthusiasm.","The individual's medium trust in public health authorities and logistical barriers (e.g., travel distance, paperwork, long wait times) may reduce willingness, but her control over her schedule and responsibility for a young child could moderately motivate her to proceed."
Mistral Large,P08,3,75,45,30,"The convenience of a nearby pharmacy with flexible hours, minimal documentation, and a short time commitment likely increases her willingness. However, her medium trust in public health authorities and logistical barriers (e.g., childcare for her 3-year-old) may slightly temper her enthusiasm.","The individual's medium trust in public health authorities, logistical barriers (distance to clinic, in-person registration with documentation requirements, and long wait times), and lower income may reduce willingness. However, her self-employed status and responsibility for a young child could moderately increase motivation to overcome these obstacles."
Mistral Large,P08,4,75,45,30,"The individual's medium trust in public health authorities and logistical barriers (e.g., distance to her regular clinic) are somewhat offset by the convenience of the nearby pharmacy with flexible hours, minimal documentation requirements, and a quick process. Her self-employed status and childcare responsibilities may further motivate her to prioritize efficiency and accessibility.","The individual's medium trust in public health authorities, logistical barriers (distance to clinic, in-person registration with documentation requirements, and long wait times), and low household income may reduce willingness. However, her self-employed status and responsibility for a young child could moderately increase motivation to overcome these obstacles."
Mistral Large,P08,5,75,45,30,"The convenience of the nearby pharmacy with flexible hours, minimal documentation, and short time commitment likely increases her willingness. However, her medium trust in public health authorities and logistical barriers (e.g., childcare for her 3-year-old) may slightly temper her enthusiasm.","The individual's medium trust in public health authorities, logistical barriers (distance to clinic, in-person registration with documentation requirements, and long wait times), and lower household income may reduce willingness. However, her self-employed status and responsibility for a young child could moderately increase motivation to overcome these hurdles."
Mistral Large,P09,1,65,55,10,"The individual's medium trust in public health authorities, ease of access to the vaccine (nearby location, flexible hours, minimal documentation), and having a young child may moderately increase her willingness. However, her lower income and education level are associated with slightly lower vaccine uptake in studies.","The individual's medium trust in public health authorities and logistical barriers (in-person registration, paperwork, and long wait times) may reduce willingness, but her access to healthcare and responsibility for a young child could moderately motivate her to proceed."
Mistral Large,P09,2,65,55,10,"The individual's medium trust in public health authorities, ease of access (nearby location, flexible hours, minimal documentation), and having a young child may moderately increase her willingness. However, her lower income and education level are associated with slightly lower vaccine uptake in research.","The individual's medium trust in public health authorities and logistical barriers (e.g., in-person registration, income verification, long wait times) may reduce willingness, but her access to healthcare and responsibility for a young child could moderately motivate her to proceed."
Mistral Large,P09,3,68,55,13,"The individual's medium trust in public health authorities, ease of access (nearby location, flexible hours, minimal documentation), and ability to control her schedule likely increase her willingness. However, lower income and education levels may slightly reduce confidence in vaccination, while having a young child could motivate her to protect her family.","The individual's medium trust in public health authorities and logistical barriers (in-person registration, paperwork, long wait times) may reduce willingness, but her access to healthcare and responsibility for a young child could moderately motivate her to proceed."
